id,title,url,acceptance,difficulty,premium,like,dislike,tag
1,Two Sum,https://leetcode.com/problems/two-sum,47.2%,Easy,0,22481.0,761.0,array;hash-table;
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,36.4%,Medium,0,12739.0,2910.0,math;linked-list;recursion;
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,31.9%,Medium,0,15753.0,777.0,string;hash-table;sliding-window;
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,32.1%,Hard,0,11171.0,1600.0,array;binary-search;divide-and-conquer;
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,31.0%,Medium,0,11940.0,739.0,string;dynamic-programming;
6,ZigZag Conversion,https://leetcode.com/problems/zigzag-conversion,39.0%,Medium,0,2581.0,6218.0,string;
7,Reverse Integer,https://leetcode.com/problems/reverse-integer,26.1%,Easy,0,5129.0,7741.0,math;
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi,15.9%,Medium,0,443.0,1207.0,string;
9,Palindrome Number,https://leetcode.com/problems/palindrome-number,50.8%,Easy,0,3585.0,1789.0,math;
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,27.7%,Hard,0,6150.0,878.0,string;dynamic-programming;recursion;
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water,53.1%,Medium,0,10482.0,746.0,array;greedy;two-pointers;
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman,57.7%,Medium,0,1963.0,3319.0,string;hash-table;math;
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer,57.4%,Easy,0,1118.0,92.0,string;hash-table;math;
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,37.0%,Easy,0,4702.0,2340.0,string;
15,3Sum,https://leetcode.com/problems/3sum,28.9%,Medium,0,11676.0,1155.0,array;sorting;two-pointers;
16,3Sum Closest,https://leetcode.com/problems/3sum-closest,46.5%,Medium,0,3662.0,183.0,array;sorting;two-pointers;
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,50.8%,Medium,0,6652.0,548.0,string;hash-table;backtracking;
18,4Sum,https://leetcode.com/problems/4sum,35.8%,Medium,0,3746.0,451.0,array;sorting;two-pointers;
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,36.5%,Medium,0,6014.0,334.0,two-pointers;linked-list;
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,40.2%,Easy,0,8142.0,334.0,string;stack;
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,57.2%,Easy,0,7473.0,815.0,linked-list;recursion;
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,67.0%,Medium,0,8774.0,360.0,string;dynamic-programming;backtracking;
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,43.9%,Hard,0,7856.0,369.0,heap-priority-queue;linked-list;divide-and-conquer;merge-sort;
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,54.5%,Medium,0,4050.0,223.0,linked-list;recursion;
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,46.6%,Hard,0,4178.0,415.0,linked-list;recursion;
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,47.3%,Easy,0,4301.0,7489.0,array;two-pointers;
27,Remove Element,https://leetcode.com/problems/remove-element,49.9%,Easy,0,2344.0,3770.0,array;two-pointers;
28,Implement strStr(),https://leetcode.com/problems/implement-strstr,35.7%,Easy,0,2624.0,2536.0,string;two-pointers;string-matching;
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers,17.0%,Medium,0,1968.0,7337.0,math;bit-manipulation;
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,26.8%,Hard,0,1369.0,1546.0,string;hash-table;sliding-window;
31,Next Permutation,https://leetcode.com/problems/next-permutation,34.3%,Medium,0,6263.0,2084.0,array;two-pointers;
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,30.2%,Hard,0,5606.0,194.0,string;dynamic-programming;stack;
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,36.5%,Medium,0,8641.0,705.0,array;binary-search;
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,38.2%,Medium,0,6307.0,216.0,array;binary-search;
35,Search Insert Position,https://leetcode.com/problems/search-insert-position,42.8%,Easy,0,3926.0,307.0,array;binary-search;
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku,51.6%,Medium,0,2847.0,581.0,array;hash-table;matrix;
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,48.7%,Hard,0,3153.0,114.0,array;matrix;backtracking;
38,Count and Say,https://leetcode.com/problems/count-and-say,46.9%,Medium,0,625.0,1905.0,string;
39,Combination Sum,https://leetcode.com/problems/combination-sum,60.9%,Medium,0,6634.0,166.0,array;backtracking;
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,51.1%,Medium,0,3147.0,95.0,array;backtracking;
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive,34.6%,Hard,0,6317.0,1066.0,array;hash-table;
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,52.5%,Hard,0,12489.0,179.0,array;dynamic-programming;two-pointers;stack;monotonic-stack;
43,Multiply Strings,https://leetcode.com/problems/multiply-strings,35.6%,Medium,0,2760.0,1097.0,string;math;simulation;
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching,25.8%,Hard,0,3300.0,155.0,string;dynamic-programming;greedy;recursion;
45,Jump Game II,https://leetcode.com/problems/jump-game-ii,33.4%,Medium,0,4957.0,202.0,array;dynamic-programming;greedy;
46,Permutations,https://leetcode.com/problems/permutations,68.3%,Medium,0,6733.0,139.0,array;backtracking;
47,Permutations II,https://leetcode.com/problems/permutations-ii,50.8%,Medium,0,3310.0,81.0,array;backtracking;
48,Rotate Image,https://leetcode.com/problems/rotate-image,62.3%,Medium,0,5621.0,366.0,array;math;matrix;
49,Group Anagrams,https://leetcode.com/problems/group-anagrams,60.7%,Medium,0,5963.0,243.0,string;hash-table;sorting;
50,"Pow(x, n)",https://leetcode.com/problems/powx-n,31.4%,Medium,0,2686.0,4019.0,math;recursion;
51,N-Queens,https://leetcode.com/problems/n-queens,52.7%,Hard,0,3615.0,116.0,array;backtracking;
52,N-Queens II,https://leetcode.com/problems/n-queens-ii,63.0%,Hard,0,1069.0,193.0,backtracking;
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,48.2%,Easy,0,13044.0,621.0,array;dynamic-programming;divide-and-conquer;
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix,37.5%,Medium,0,4296.0,689.0,array;matrix;simulation;
55,Jump Game,https://leetcode.com/problems/jump-game,35.8%,Medium,0,6973.0,442.0,array;dynamic-programming;greedy;
